GEOID,Indicator,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Baden-Wuerttemberg,Repair and installation of machinery and equipment  Local units - number,217,214,933,968,906,985,1029,995,1028,1060,1092
Baden-Wuerttemberg,Wholesale of agricultural raw materials and live animals  Local units - number,,,,,,,1051,999,1051,1229,1004
Baden-Wuerttemberg,"Sale, maintenance and repair of motorcycles and related parts and accessories  Local units - number",,,,,,,794,850,920,836,971
Baden-Wuerttemberg,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials  Local units - number",246,242,1080,1035,1000,939,916,890,847,820,801
Baden-Wuerttemberg,Manufacture of chemicals and chemical products  Local units - number,200,201,906,902,860,852,833,830,813,806,799
Baden-Wuerttemberg,Printing and reproduction of recorded media  Local units - number,289,276,1198,1094,1034,1008,951,904,833,807,772
Baden-Wuerttemberg,Retail sale via stalls and markets  Local units - number,,,,,,,734,739,806,743,752
Baden-Wuerttemberg,"Waste collection, treatment and disposal activities; materials recovery  Local units - number",,,,,,,,,,417,748
Baden-Wuerttemberg,Security and investigation activities  Local units - number,459,468,425,428,401,408,628,653,639,699,736
Baden-Wuerttemberg,Civil engineering  Local units - number,217,642,654,621,660,664,692,694,697,716,704
Baden-Wuerttemberg,"Water collection, treatment and supply  Local units - number",543,535,535,531,530,524,517,518,519,518,666
Baden-Wuerttemberg,Manufacture of paper and paper products  Local units - number,172,169,752,741,719,704,693,683,661,668,655
Baden-Wuerttemberg,Manufacture of furniture  Local units - number,169,165,792,783,739,736,694,682,672,659,645
Baden-Wuerttemberg,Non-specialised wholesale trade  Local units - number,,,,,,,997,1089,938,907,590
Baden-Wuerttemberg,Manufacture of basic metals  Local units - number,139,141,633,595,577,582,572,565,546,511,515
Baden-Wuerttemberg,Manufacture of textiles  Local units - number,134,131,563,551,545,520,526,506,497,475,477
Baden-Wuerttemberg,Telecommunications  Local units - number,292,161,188,213,236,312,501,387,392,423,456
Baden-Wuerttemberg,Sewerage  Local units - number,,,,,,,,,,319,371
Baden-Wuerttemberg,Manufacture of beverages  Local units - number,103,98,432,414,403,382,390,380,371,362,354
Baden-Wuerttemberg,Mining and quarrying  Local units - number,165,166,470,402,376,373,355,352,344,332,334
Baden-Wuerttemberg,Other mining and quarrying  Local units - number,165,166,470,402,376,373,355,352,344,332,334
Baden-Wuerttemberg,Manufacture of basic pharmaceutical products and pharmaceutical preparations  Local units - number,44,42,196,203,206,201,199,207,202,198,192
Baden-Wuerttemberg,Manufacture of wearing apparel  Local units - number,69,65,270,250,237,228,226,224,201,188,171
Baden-Wuerttemberg,Manufacture of other transport equipment  Local units - number,35,38,175,166,170,165,155,158,170,166,161
Baden-Wuerttemberg,Air transport  Local units - number,72,88,88,63,67,67,105,97,112,116,125
Baden-Wuerttemberg,Water transport  Local units - number,93,95,89,88,82,74,106,106,107,98,97
Baden-Wuerttemberg,Programming and broadcasting activities  Local units - number,91,83,81,82,75,74,89,77,86,80,67
Baden-Wuerttemberg,Manufacture of leather and related products  Local units - number,21,19,77,71,64,67,71,71,69,68,66
Baden-Wuerttemberg,Remediation activities and other waste management services  Local units - number,,,,,,,,,,8,46
Baden-Wuerttemberg,Manufacture of coke and refined petroleum products  Local units - number,6,6,27,27,25,25,25,25,25,24,24
Baden-Wuerttemberg,Manufacture of tobacco products  Local units - number,3,3,14,18,17,12,12,12,12,12,12
Baden-Wuerttemberg,Mining of coal and lignite  Local units - number,0,0,0,0,0,0,0,0,0,0,0
Baden-Wuerttemberg,Extraction of crude petroleum and natural gas  Local units - number,0,0,0,0,0,0,0,0,0,0,0
Baden-Wuerttemberg,Mining of metal ores  Local units - number,0,0,0,0,0,0,0,0,0,0,0
Baden-Wuerttemberg,Mining support service activities  Local units - number,0,0,0,0,0,0,0,0,0,0,0
Baden-Wuerttemberg,Manufacture of tobacco products  Persons employed - number,,,,,,,,,,,
Baden-Wuerttemberg,Manufacture of coke and refined petroleum products  Persons employed - number,,,,,,,,,,,
